user_id,registration_date,device_type,country,age_group
130,2023-06-30,tablet,Ukraine,18-25
131,2024-07-24,mobile,Russia,46-55
132,2023-05-17,desktop,Belarus,46-55
133,2024-05-31,desktop,Ukraine,26-35
134,2024-05-01,desktop,Belarus,26-35
135,2023-10-11,tablet,Ukraine,26-35
136,2023-10-09,desktop,Russia,36-45
137,2023-08-29,desktop,Belarus,36-45
138,2024-07-07,mobile,Kazakhstan,26-35
139,2023-08-25,desktop,Kazakhstan,26-35
140,2023-03-07,desktop,Ukraine,36-45
141,2024-07-09,desktop,Ukraine,18-25
142,2023-07-31,desktop,Ukraine,55+
143,2023-01-21,tablet,Ukraine,46-55
144,2023-01-07,desktop,Belarus,46-55
145,2024-03-05,tablet,Kazakhstan,46-55
146,2023-08-13,desktop,Ukraine,46-55
147,2023-01-30,desktop,Belarus,46-55
148,2023-06-19,desktop,Kazakhstan,55+
149,2024-06-30,mobile,Ukraine,55+
150,2023-01-28,mobile,Ukraine,26-35
151,2024-04-17,mobile,Russia,36-45
152,2024-01-24,desktop,Kazakhstan,46-55
153,2023-12-01,desktop,Ukraine,36-45
154,2024-03-07,desktop,Russia,46-55
155,2023-01-20,tablet,Russia,36-45
156,2023-08-18,tablet,Russia,18-25
157,2023-02-01,mobile,Kazakhstan,18-25
158,2023-06-06,mobile,Kazakhstan,46-55
159,2023-04-28,tablet,Kazakhstan,46-55
160,2023-09-20,desktop,Kazakhstan,55+
161,2023-04-28,mobile,Belarus,18-25
162,2023-01-27,desktop,Ukraine,46-55
163,2023-07-23,mobile,Kazakhstan,18-25
164,2023-11-05,tablet,Russia,55+
165,2023-02-12,desktop,Ukraine,36-45
166,2023-03-12,tablet,Belarus,18-25
167,2024-03-06,desktop,Russia,46-55
168,2024-01-06,tablet,Ukraine,26-35
169,2024-03-21,mobile,Belarus,55+
170,2024-07-05,desktop,Ukraine,46-55
171,2023-10-02,desktop,Kazakhstan,18-25
172,2023-10-13,desktop,Kazakhstan,46-55
173,2024-01-24,desktop,Russia,46-55
174,2023-11-29,mobile,Ukraine,26-35
175,2023-12-30,desktop,Belarus,36-45
176,2023-10-10,tablet,Russia,55+
177,2023-07-15,mobile,Kazakhstan,46-55
178,2024-05-15,tablet,Kazakhstan,46-55
179,2024-05-17,desktop,Russia,18-25
180,2023-10-29,mobile,Ukraine,26-35
181,2023-11-10,tablet,Belarus,46-55
182,2024-07-20,tablet,Belarus,46-55
183,2024-07-17,desktop,Belarus,46-55
184,2023-10-05,desktop,Belarus,26-35
185,2023-05-04,tablet,Kazakhstan,36-45
186,2023-05-03,tablet,Kazakhstan,26-35
187,2023-08-10,tablet,Ukraine,36-45
188,2024-06-21,tablet,Belarus,18-25
189,2023-07-18,desktop,Kazakhstan,36-45
190,2023-07-03,desktop,Russia,55+
191,2023-05-10,desktop,Russia,18-25
192,2024-07-20,desktop,Kazakhstan,46-55
193,2023-04-16,mobile,Belarus,46-55
194,2024-05-05,desktop,Belarus,26-35
195,2023-02-22,desktop,Ukraine,18-25
196,2023-03-08,desktop,Ukraine,18-25
197,2023-02-24,mobile,Kazakhstan,55+
198,2023-11-08,mobile,Kazakhstan,18-25
199,2024-07-25,desktop,Kazakhstan,55+
200,2024-01-25,desktop,Ukraine,36-45
201,2024-03-15,desktop,Russia,55+
202,2023-04-12,mobile,Kazakhstan,36-45
203,2023-03-25,mobile,Kazakhstan,26-35
204,2024-07-19,mobile,Kazakhstan,18-25
205,2024-02-23,desktop,Ukraine,36-45
206,2023-02-03,mobile,Belarus,36-45
207,2024-04-09,mobile,Kazakhstan,36-45
208,2023-07-22,desktop,Russia,55+
209,2023-08-19,tablet,Kazakhstan,36-45
210,2023-05-26,mobile,Russia,26-35
211,2023-11-11,tablet,Belarus,46-55
212,2023-05-08,desktop,Belarus,46-55
213,2023-10-06,tablet,Ukraine,46-55
214,2023-03-24,tablet,Russia,46-55
215,2023-11-27,tablet,Belarus,18-25
216,2023-04-04,mobile,Russia,36-45
217,2023-02-11,mobile,Ukraine,55+
218,2024-03-28,desktop,Kazakhstan,55+
219,2024-03-22,tablet,Ukraine,18-25
220,2024-04-26,desktop,Ukraine,36-45
221,2023-11-25,tablet,Russia,26-35
222,2023-12-04,desktop,Ukraine,36-45
223,2024-02-15,tablet,Russia,46-55
224,2023-04-01,desktop,Belarus,36-45
225,2023-04-29,desktop,Russia,55+
226,2024-04-18,desktop,Russia,26-35
227,2024-06-14,desktop,Ukraine,46-55
228,2023-02-22,mobile,Belarus,55+
229,2023-05-15,desktop,Ukraine,46-55
230,2023-05-05,mobile,Kazakhstan,26-35
231,2023-11-15,tablet,Russia,55+
232,2024-02-22,mobile,Kazakhstan,18-25
233,2024-04-17,mobile,Kazakhstan,46-55
234,2023-10-26,tablet,Belarus,46-55
235,2024-05-09,desktop,Kazakhstan,46-55
236,2024-07-18,mobile,Ukraine,26-35
237,2024-06-04,tablet,Kazakhstan,18-25
238,2023-10-10,desktop,Belarus,55+
239,2023-10-01,mobile,Belarus,36-45
240,2024-05-16,mobile,Ukraine,55+
241,2024-05-10,desktop,Belarus,55+
242,2024-07-10,desktop,Ukraine,36-45
243,2023-07-13,tablet,Kazakhstan,55+
244,2024-01-28,mobile,Ukraine,18-25
245,2023-11-22,tablet,Ukraine,46-55
246,2024-01-31,tablet,Kazakhstan,46-55
247,2023-02-07,mobile,Belarus,18-25
248,2024-03-26,mobile,Ukraine,18-25
249,2023-05-28,desktop,Kazakhstan,18-25
250,2024-04-25,desktop,Belarus,55+
251,2024-02-12,tablet,Russia,36-45
252,2024-06-30,desktop,Belarus,46-55
253,2024-07-08,mobile,Russia,26-35
254,2023-10-22,mobile,Russia,46-55
255,2023-04-11,tablet,Russia,46-55
256,2023-06-20,tablet,Belarus,18-25
257,2023-02-17,desktop,Russia,36-45
258,2024-01-03,desktop,Ukraine,26-35
259,2023-09-08,tablet,Ukraine,55+
260,2023-07-04,mobile,Kazakhstan,18-25
261,2024-01-27,tablet,Kazakhstan,46-55
262,2023-05-27,mobile,Ukraine,36-45
263,2024-04-15,desktop,Russia,46-55
264,2023-10-22,tablet,Kazakhstan,18-25
265,2024-03-28,desktop,Belarus,46-55
266,2023-09-14,desktop,Belarus,26-35
267,2024-01-29,desktop,Russia,26-35
268,2024-01-26,tablet,Belarus,55+
269,2023-10-30,tablet,Belarus,18-25
270,2024-02-10,desktop,Russia,55+
271,2023-02-20,tablet,Ukraine,36-45
272,2023-08-24,tablet,Belarus,26-35
273,2023-07-14,tablet,Belarus,26-35
274,2023-04-10,tablet,Russia,36-45
275,2024-03-27,mobile,Belarus,26-35
276,2023-04-03,desktop,Belarus,46-55
277,2023-06-29,mobile,Kazakhstan,55+
278,2024-01-10,tablet,Belarus,26-35
279,2023-09-21,desktop,Belarus,36-45
280,2023-04-28,desktop,Russia,26-35
281,2023-08-20,tablet,Ukraine,55+
282,2024-01-10,mobile,Ukraine,18-25
283,2023-09-28,tablet,Russia,46-55
284,2024-01-13,tablet,Belarus,55+
285,2024-01-26,tablet,Belarus,18-25
286,2023-08-28,desktop,Russia,55+
287,2023-12-02,tablet,Kazakhstan,18-25
288,2024-04-20,tablet,Belarus,46-55
289,2023-04-30,mobile,Russia,18-25
290,2023-11-08,desktop,Russia,18-25
291,2023-08-29,tablet,Kazakhstan,46-55
292,2024-04-09,desktop,Ukraine,55+
293,2023-06-08,desktop,Russia,46-55
294,2024-02-22,desktop,Russia,36-45
295,2023-08-11,desktop,Ukraine,26-35
296,2024-01-07,mobile,Belarus,55+
297,2024-01-03,mobile,Ukraine,36-45
298,2023-07-14,mobile,Ukraine,18-25
299,2023-08-06,tablet,Russia,18-25
300,2023-12-08,mobile,Kazakhstan,55+
301,2023-07-30,mobile,Kazakhstan,55+
302,2023-08-10,mobile,Belarus,26-35
303,2023-01-03,desktop,Kazakhstan,26-35
304,2024-07-07,desktop,Kazakhstan,18-25
305,2023-01-27,mobile,Russia,36-45
306,2023-09-01,tablet,Belarus,18-25
307,2023-06-28,desktop,Russia,26-35
308,2024-03-07,tablet,Russia,18-25
309,2024-05-02,desktop,Belarus,55+
310,2023-04-22,desktop,Kazakhstan,55+
311,2023-02-14,tablet,Belarus,46-55
312,2023-02-01,mobile,Ukraine,46-55
313,2024-03-12,tablet,Russia,46-55
314,2024-03-30,mobile,Russia,36-45
315,2023-06-01,mobile,Kazakhstan,36-45
316,2024-07-15,tablet,Belarus,46-55
317,2024-06-27,desktop,Ukraine,55+
318,2024-03-16,mobile,Russia,55+
319,2023-08-09,desktop,Ukraine,26-35
320,2024-02-28,desktop,Ukraine,46-55
321,2024-03-01,tablet,Russia,36-45
322,2024-03-13,desktop,Belarus,36-45
323,2023-06-06,tablet,Ukraine,18-25
324,2023-04-04,mobile,Russia,46-55
325,2023-04-09,tablet,Belarus,26-35
326,2024-07-23,mobile,Belarus,18-25
327,2024-02-25,desktop,Ukraine,18-25
328,2023-10-22,tablet,Belarus,36-45
329,2023-04-17,tablet,Kazakhstan,26-35
330,2024-05-08,mobile,Russia,36-45
331,2024-07-23,desktop,Russia,36-45
332,2023-08-20,desktop,Russia,55+
333,2023-10-01,mobile,Kazakhstan,36-45
334,2023-11-13,desktop,Belarus,18-25
335,2023-07-05,mobile,Ukraine,18-25
336,2023-05-26,tablet,Russia,18-25
337,2024-06-27,mobile,Ukraine,46-55
338,2024-04-09,desktop,Kazakhstan,36-45
339,2023-11-16,tablet,Belarus,55+
340,2023-03-28,mobile,Kazakhstan,26-35
341,2023-02-20,tablet,Russia,36-45
342,2024-03-29,tablet,Ukraine,46-55
343,2024-03-28,desktop,Belarus,26-35
344,2024-06-08,mobile,Belarus,46-55
345,2023-04-24,desktop,Ukraine,55+
346,2023-11-12,mobile,Kazakhstan,46-55
347,2023-02-26,mobile,Kazakhstan,36-45
348,2023-08-05,mobile,Belarus,36-45
349,2023-12-02,mobile,Russia,46-55
350,2024-03-16,mobile,Kazakhstan,46-55
351,2024-06-29,tablet,Kazakhstan,55+
352,2023-12-29,mobile,Ukraine,18-25
353,2024-03-22,mobile,Ukraine,18-25
354,2023-11-17,tablet,Ukraine,55+
355,2024-02-19,tablet,Ukraine,36-45
356,2023-04-28,desktop,Russia,36-45
357,2023-06-25,tablet,Ukraine,36-45
358,2023-04-01,desktop,Russia,26-35
359,2024-03-22,tablet,Ukraine,55+
360,2023-03-22,desktop,Belarus,36-45
361,2023-08-15,desktop,Kazakhstan,18-25
362,2024-06-06,tablet,Russia,55+
363,2024-06-06,mobile,Belarus,36-45
364,2023-06-01,mobile,Russia,26-35
365,2023-09-20,mobile,Kazakhstan,55+
366,2023-06-06,tablet,Russia,26-35
367,2024-05-20,desktop,Ukraine,55+
368,2023-11-27,tablet,Belarus,26-35
369,2024-03-26,mobile,Ukraine,46-55
370,2023-11-07,desktop,Russia,36-45
371,2024-06-03,mobile,Belarus,46-55
372,2024-04-07,mobile,Russia,36-45
373,2023-10-21,mobile,Russia,55+
374,2024-06-03,desktop,Ukraine,55+
375,2024-07-21,tablet,Russia,46-55
376,2023-07-12,desktop,Ukraine,55+
377,2023-06-04,mobile,Ukraine,18-25
378,2023-12-18,tablet,Russia,55+
379,2023-06-26,mobile,Kazakhstan,46-55
380,2024-03-25,tablet,Kazakhstan,36-45
381,2024-01-17,desktop,Ukraine,46-55
382,2023-12-13,tablet,Russia,36-45
383,2023-03-09,desktop,Russia,55+
384,2024-01-31,desktop,Belarus,55+
385,2023-06-03,desktop,Russia,55+
386,2023-05-25,desktop,Belarus,46-55
387,2023-05-13,tablet,Russia,36-45
388,2024-01-21,tablet,Belarus,26-35
389,2024-06-23,mobile,Ukraine,55+
390,2024-01-06,mobile,Belarus,36-45
391,2023-07-04,mobile,Belarus,46-55
392,2023-07-16,mobile,Kazakhstan,26-35
393,2023-03-21,desktop,Russia,55+
394,2024-07-06,tablet,Russia,36-45
395,2023-05-15,tablet,Ukraine,26-35
396,2023-06-16,mobile,Kazakhstan,46-55
397,2023-02-14,desktop,Belarus,26-35
398,2024-03-30,tablet,Belarus,46-55
399,2023-08-28,tablet,Kazakhstan,36-45
400,2024-04-25,mobile,Belarus,55+
401,2024-03-27,desktop,Belarus,46-55
402,2024-05-29,tablet,Ukraine,26-35
403,2023-07-24,tablet,Kazakhstan,36-45
404,2023-02-23,tablet,Ukraine,36-45
405,2024-07-21,mobile,Russia,36-45
406,2023-03-27,mobile,Belarus,46-55
407,2024-06-09,mobile,Ukraine,18-25
408,2023-08-16,desktop,Belarus,18-25
409,2024-02-29,mobile,Ukraine,55+
410,2024-01-18,mobile,Ukraine,18-25
411,2024-01-19,mobile,Russia,36-45
412,2023-04-12,tablet,Belarus,26-35
413,2023-05-21,mobile,Belarus,46-55
414,2023-05-23,tablet,Ukraine,46-55
415,2023-01-06,mobile,Russia,36-45
416,2023-08-09,mobile,Ukraine,18-25
417,2023-10-23,mobile,Belarus,18-25
418,2023-02-18,mobile,Ukraine,55+
419,2024-04-13,mobile,Russia,46-55
420,2024-07-02,mobile,Kazakhstan,26-35
421,2023-10-26,desktop,Russia,55+
422,2023-12-28,mobile,Ukraine,26-35
423,2023-03-29,tablet,Belarus,18-25
424,2024-06-22,tablet,Russia,46-55
425,2024-04-26,mobile,Ukraine,36-45
426,2023-09-17,tablet,Russia,36-45
427,2023-03-11,desktop,Kazakhstan,18-25
428,2023-12-07,mobile,Russia,36-45
429,2024-07-13,desktop,Kazakhstan,46-55
430,2024-05-05,tablet,Kazakhstan,26-35
431,2023-03-06,tablet,Ukraine,18-25
432,2023-10-28,mobile,Russia,26-35
433,2023-02-12,desktop,Belarus,55+
434,2024-02-12,tablet,Ukraine,36-45
435,2023-02-07,tablet,Kazakhstan,36-45
436,2024-01-01,mobile,Belarus,36-45
437,2023-05-08,desktop,Ukraine,46-55
438,2024-03-26,desktop,Belarus,26-35
439,2024-05-23,tablet,Ukraine,36-45
440,2024-06-15,desktop,Russia,46-55
441,2023-03-22,desktop,Kazakhstan,55+
442,2023-10-28,desktop,Russia,18-25
443,2023-12-02,tablet,Belarus,36-45
444,2024-04-01,tablet,Ukraine,26-35
445,2024-03-30,desktop,Ukraine,18-25
446,2023-12-28,tablet,Ukraine,36-45
447,2023-02-28,mobile,Ukraine,36-45
448,2024-06-09,tablet,Kazakhstan,18-25
449,2023-05-27,tablet,Ukraine,18-25
450,2023-05-10,mobile,Kazakhstan,36-45
451,2024-01-06,desktop,Russia,55+
452,2023-06-07,tablet,Ukraine,36-45
453,2024-01-16,desktop,Russia,55+
454,2023-05-21,tablet,Belarus,46-55
455,2023-11-18,tablet,Belarus,26-35
456,2023-04-27,mobile,Kazakhstan,46-55
457,2024-06-14,desktop,Russia,36-45
458,2023-09-24,tablet,Ukraine,26-35
459,2023-10-20,tablet,Ukraine,26-35
460,2023-05-06,mobile,Russia,46-55
461,2023-06-26,tablet,Ukraine,18-25
462,2023-11-24,tablet,Belarus,18-25
463,2024-07-17,tablet,Belarus,36-45
464,2023-06-11,tablet,Kazakhstan,36-45
465,2024-06-04,mobile,Russia,26-35
466,2023-05-23,mobile,Ukraine,18-25
467,2024-01-05,tablet,Belarus,46-55
468,2024-07-18,mobile,Russia,18-25
469,2023-11-13,desktop,Ukraine,55+
470,2024-02-25,desktop,Russia,26-35
471,2023-11-21,tablet,Russia,46-55
472,2024-04-22,tablet,Belarus,26-35
473,2024-07-18,tablet,Kazakhstan,26-35
474,2024-03-19,tablet,Russia,18-25
475,2024-06-14,mobile,Belarus,26-35
476,2023-06-15,desktop,Kazakhstan,36-45
477,2024-06-15,desktop,Russia,36-45
478,2023-07-21,tablet,Belarus,26-35
479,2023-11-07,tablet,Russia,55+
480,2023-06-22,tablet,Kazakhstan,26-35
481,2023-12-12,tablet,Russia,18-25
482,2023-03-25,mobile,Belarus,26-35
483,2024-03-02,tablet,Russia,46-55
484,2024-07-12,desktop,Belarus,46-55
485,2023-09-08,tablet,Ukraine,36-45
486,2024-04-09,mobile,Russia,26-35
487,2024-03-26,desktop,Ukraine,46-55
488,2023-07-28,desktop,Kazakhstan,36-45
489,2023-11-23,tablet,Belarus,46-55
490,2023-05-14,desktop,Russia,36-45
491,2023-09-05,desktop,Russia,36-45
492,2024-04-05,mobile,Kazakhstan,18-25
493,2023-02-21,desktop,Ukraine,55+
494,2024-03-04,mobile,Kazakhstan,36-45
495,2023-11-17,mobile,Kazakhstan,46-55
496,2024-06-11,desktop,Ukraine,36-45
497,2024-05-24,mobile,Russia,46-55
498,2024-06-01,desktop,Kazakhstan,26-35
499,2023-12-28,mobile,Russia,36-45
500,2024-05-21,tablet,Ukraine,36-45
501,2024-07-03,mobile,Russia,46-55
502,2023-05-18,desktop,Belarus,46-55
503,2024-01-10,mobile,Ukraine,18-25
504,2023-07-19,desktop,Belarus,18-25
505,2024-01-31,tablet,Ukraine,55+
506,2023-10-14,tablet,Russia,26-35
507,2023-04-10,desktop,Belarus,36-45
508,2024-07-25,desktop,Kazakhstan,26-35
509,2024-06-05,desktop,Russia,18-25
510,2023-02-09,mobile,Belarus,46-55
511,2024-06-15,desktop,Kazakhstan,55+
512,2024-06-11,mobile,Belarus,55+
513,2023-11-23,mobile,Ukraine,55+
514,2023-11-03,tablet,Belarus,55+
515,2024-06-05,tablet,Ukraine,55+
516,2023-11-03,desktop,Russia,36-45
517,2023-12-06,tablet,Russia,46-55
518,2023-11-12,tablet,Russia,55+
519,2024-04-30,desktop,Kazakhstan,18-25
520,2024-05-06,mobile,Ukraine,26-35
521,2023-09-06,mobile,Russia,26-35
522,2023-01-20,desktop,Belarus,46-55
523,2023-06-05,desktop,Kazakhstan,46-55
524,2024-05-28,tablet,Ukraine,18-25
525,2023-05-22,tablet,Kazakhstan,55+
526,2023-11-29,tablet,Ukraine,55+
527,2024-01-21,desktop,Kazakhstan,46-55
528,2024-06-29,desktop,Belarus,36-45
529,2024-05-10,mobile,Kazakhstan,36-45
530,2024-07-25,desktop,Kazakhstan,36-45
531,2023-10-23,tablet,Kazakhstan,46-55
532,2023-11-21,desktop,Belarus,55+
533,2023-10-08,desktop,Russia,55+
534,2024-07-10,desktop,Ukraine,36-45
535,2023-05-30,desktop,Russia,36-45
536,2023-03-22,desktop,Ukraine,36-45
537,2024-05-05,mobile,Kazakhstan,55+
538,2023-10-05,tablet,Belarus,26-35
539,2023-04-22,tablet,Kazakhstan,26-35
540,2023-02-21,tablet,Kazakhstan,26-35
541,2023-02-23,mobile,Ukraine,36-45
542,2024-04-28,mobile,Kazakhstan,18-25
543,2024-07-17,mobile,Ukraine,46-55
544,2024-05-03,tablet,Kazakhstan,36-45
545,2023-11-25,desktop,Russia,18-25
546,2023-08-26,tablet,Russia,26-35
547,2024-03-03,mobile,Russia,46-55
548,2024-05-22,mobile,Belarus,18-25
549,2023-01-10,desktop,Russia,36-45
550,2023-10-19,desktop,Ukraine,26-35
551,2024-05-31,desktop,Belarus,26-35
552,2023-04-26,desktop,Kazakhstan,46-55
553,2023-09-21,tablet,Kazakhstan,18-25
554,2023-12-12,desktop,Kazakhstan,26-35
555,2024-02-20,desktop,Belarus,18-25
556,2024-02-15,tablet,Russia,26-35
557,2023-05-24,desktop,Belarus,26-35
558,2023-01-07,desktop,Ukraine,26-35
559,2024-04-02,desktop,Belarus,36-45
560,2023-01-12,desktop,Belarus,26-35
561,2023-03-05,tablet,Russia,46-55
562,2023-11-11,mobile,Ukraine,55+
563,2023-11-15,tablet,Russia,36-45
564,2024-01-12,tablet,Kazakhstan,26-35
565,2023-05-17,desktop,Kazakhstan,46-55
566,2024-01-18,desktop,Ukraine,55+
567,2023-08-12,mobile,Russia,55+
568,2024-04-02,tablet,Belarus,18-25
569,2023-04-25,mobile,Kazakhstan,55+
570,2024-07-03,mobile,Kazakhstan,36-45
571,2024-06-16,desktop,Russia,26-35
572,2024-05-15,mobile,Ukraine,18-25
573,2024-04-09,mobile,Ukraine,46-55
574,2023-03-01,tablet,Ukraine,36-45
575,2023-01-23,desktop,Belarus,18-25
576,2023-08-12,tablet,Russia,18-25
577,2024-03-09,desktop,Russia,55+
578,2023-03-03,mobile,Ukraine,18-25
579,2023-10-21,desktop,Kazakhstan,26-35
580,2024-03-06,desktop,Ukraine,46-55
581,2024-01-22,desktop,Russia,55+
582,2023-05-17,tablet,Belarus,18-25
583,2023-07-02,tablet,Ukraine,55+
584,2023-05-11,tablet,Kazakhstan,18-25
585,2023-01-24,desktop,Ukraine,55+
586,2024-03-10,tablet,Ukraine,26-35
587,2023-09-11,desktop,Belarus,26-35
588,2023-10-10,mobile,Russia,18-25
589,2024-03-05,tablet,Russia,26-35
590,2023-07-31,mobile,Russia,55+
591,2023-02-04,desktop,Russia,26-35
592,2023-02-15,desktop,Ukraine,26-35
593,2024-07-06,mobile,Russia,26-35
594,2024-05-30,desktop,Kazakhstan,55+
595,2023-11-23,tablet,Belarus,26-35
596,2023-11-06,mobile,Kazakhstan,46-55
597,2023-11-04,desktop,Russia,55+
598,2023-06-29,tablet,Ukraine,55+
599,2024-05-22,mobile,Belarus,46-55
600,2024-06-21,desktop,Ukraine,46-55
601,2023-06-02,desktop,Ukraine,26-35
602,2024-07-04,desktop,Kazakhstan,26-35
603,2023-11-04,tablet,Kazakhstan,46-55
604,2023-03-01,tablet,Ukraine,46-55
605,2024-07-24,tablet,Kazakhstan,46-55
606,2023-09-06,desktop,Kazakhstan,36-45
607,2023-03-22,desktop,Belarus,18-25
608,2024-07-02,tablet,Kazakhstan,18-25
609,2023-10-02,desktop,Russia,18-25
610,2023-07-12,tablet,Kazakhstan,46-55
611,2023-08-02,desktop,Belarus,18-25
612,2023-08-05,mobile,Russia,46-55
613,2023-09-06,tablet,Kazakhstan,46-55
614,2023-09-03,tablet,Belarus,36-45
615,2024-01-25,desktop,Belarus,36-45
616,2023-09-25,desktop,Ukraine,46-55
617,2023-04-11,tablet,Ukraine,36-45
618,2023-07-28,desktop,Belarus,46-55
619,2023-02-16,tablet,Kazakhstan,26-35
